% Moku:FrequencyResponseAnalyzer
% Input 1 - DC coupling  50 Ohm impedance  10 Vpp range  output load 50 Ohm  amplitude 5 mVpp  offset 0.000 0 V
% Input 2 - DC coupling  1 MOhm impedance  10 Vpp range  output load 1 MOhm  amplitude 100 mVpp  offset 0.000 0 V
% Logarithmic sweep  calibration off
% Averaging time 10.00 ms  1 cycles; Settling time 2.000 ms  1 cycles
% Measuring fundamental  phase difference between channels 0.000 deg
% Internal 10 MHz clock
% Acquired 2022-08-23 T 15:54:04 -0700
% Frequency (Hz)  Input 1 Magnitude (dB)  Input 1 Phase (deg)  Input 2 Magnitude (dB)  Input 2 Phase (deg)
1.00000000e+07  -4.3785e+01  -6.7679e+01  -7.6269e+01  -5.8802e+01
9.90336921e+06  -5.4187e+01  1.1444e+01  -8.5451e+01  8.9200e+01
9.80767217e+06  -5.7229e+01  -1.9364e+01  -8.7295e+01  4.7006e+01
9.71289986e+06  -5.4495e+01  -2.3071e+01  -8.7611e+01  -9.4101e+01
9.61904334e+06  -5.7727e+01  -6.9185e+01  -9.8828e+01  -8.6113e+01
9.52609377e+06  -5.4552e+01  6.6125e+00  -9.0451e+01  1.0755e+02
9.43404237e+06  -5.6934e+01  8.5089e+00  -8.4100e+01  3.5654e+01
9.34288048e+06  -5.1698e+01  1.5320e+01  -8.5857e+01  1.4130e+00
9.25259949e+06  -6.4401e+01  -7.2422e-02  -9.1090e+01  -3.9473e+01
9.16319089e+06  -5.4975e+01  1.1816e+01  -8.8629e+01  -1.4252e+02
9.07464625e+06  -5.8198e+01  4.9965e+01  -1.0113e+02  1.1634e+02
8.98695723e+06  -6.2804e+01  1.0650e+02  -9.6509e+01  -1.1908e+02
8.90011555e+06  -5.4449e+01  3.5208e+01  -9.3973e+01  1.5721e+02
8.81411303e+06  -5.8688e+01  1.0128e+02  -9.0488e+01  9.6180e+01
8.72894156e+06  -6.0127e+01  6.5202e+01  -8.4849e+01  4.5327e+01
8.64459311e+06  -5.9194e+01  4.1020e+01  -8.7869e+01  -1.4700e+02
